,author,year,title,climate_damage_ratio,climate_conflict_ratio,climate_threat_ratio,adaptation_conflict_ratio,mitigation_damage_ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
35,mukherijee,2012,Estimation.txt,-0.117647059,1,0.38028169,0.741935484,-0.466666667,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
36,sun,2019,Investigation.txt,0.666666667,0.405405405,-0.771428571,0.428571429,-0.448275862,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
37,zhangetal,2012,Gascleaning.txt,0.489361702,0.870967742,0.636363636,0.448275862,-0.436619718,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
38,Bozonnet etal,2013,urban fluxes.txt,0.532228361,0.928057554,0.436363636,0.333333333,0.070422535,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
39,georges,2013,Design.txt,0.391304348,0.835294118,0.428571429,0.902439024,0.411764706,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
40,knez etal,2014,A sustainable transport.txt,-0.127272727,0.972899729,0.528784648,0.708411215,0.449606862,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
41,Laseinde and Ramere,2018,vertical support.txt,0.8125,0.904761905,0.914893617,0.915966387,0.790893761,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
42,Kim etal,2009,cooling effect and potable water.txt,0.830508475,0.8,0.581395349,-0.04,0.52,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
43,Amanda Sabo,2016,impacts and response.txt,0.083756345,0.943925234,0.842105263,0.555555556,0.64,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
44,harikrishnan,2011,Effect of.txt,0.50660793,0.955555556,0.987096774,0.333333333,0.294117647,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
45,iwaro etal,2014,An integrated approac.txt,0.023255814,0.925465839,0.797468354,0.8,0.483870968,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
46,hegazy,2020,Toward efficient energy con.txt,0.392405063,0.25,0.975308642,0.857142857,-0.047619048,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
47,Fan etal,2017,intermittent supply.txt,0.747126437,0.913978495,0.857142857,0.555555556,-0.026315789,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
48,varga,2010,Comparison.txt,0.376623377,1,0.958823529,0.875,-0.130434783,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
49,jiang etal,2013, Design and performan.txt,0.940594059,0.866666667,0.940540541,0.75,0.255813953,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
50,Mohammad etal,2020,wind farm.txt,0.495145631,0.619047619,0.776119403,0.777777778,0.166666667,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
51,ghalamchi,2016,Evolving.txt,0.745762712,0.910614525,0.870967742,0.9,0.117647059,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
52,sawant,2011,Performance.txt,0.743589744,0.89380531,0.969465649,0.818181818,0.705882353,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
53,veselov,2010,Impact.txt,-0.111111111,0.928571429,0.740112994,0.643564356,0.484662577,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
54,inyang,2020,Reactive.txt,-0.736111111,0.333333333,0.780487805,-0.189189189,-0.03030303,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
55,bouaid etal,2012,Optimization.txt,-0.186440678,0.777777778,0.81420765,0.272727273,-0.333333333,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
56,huang etal,2020,Comparative investig.txt,0.745454545,0.833333333,0.984126984,0.833333333,0.407407407,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
57,goshayeshi and chaer,2016,Comparison.txt,0.631578947,-0.090909091,0.91509434,0.666666667,0.066666667,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
58,yan etal,2020,energy.txt,0.583333333,0.948717949,0.880239521,-0.166666667,-0.083333333,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
59,yandri,2018,Uniformity.txt,0.083333333,0.850746269,0.917159763,-0.2,0.238095238,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
60,sandhu,2011,Investigations.txt,0.096153846,0.962441315,0.879396985,-0.142857143,-0.692307692,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
61,jareemit and canyookt,2020,Residential.txt,0.536945813,0.2,0.215686275,-0.619047619,-0.438202247,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
62,ayou etal,2013,Analysis.txt,0.689655172,-0.333333333,0.333333333,0.076923077,-0.118644068,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
63,kan etal,2010,Exergoeconomic performance.txt,0.679012346,0.88,0.884615385,0.272727273,0.347826087,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
