,Unnamed: 0,author,year,title,blob,vader,afinn,blob_zscore,vader_zscore,afinn_zscore,blob_zscore_outliers,vader_zscore_outliers,afinn_zscore_outliers,co2,co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,coal_co2,cumulative_coal_co2,coal_co2_per_capita,gdp
22,22,aleknaviciute,2012,Plasma assis.txt,0.0436262432784836,0.0834529531568228,0.0275862068965517,1.3661613731034077,0.8328665430008328,0.7200061531012257,1.3661613731034077,0.8328665430008328,0.7200061531012257,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
23,23,aleknaviviute,2016,Towards clean.txt,0.0244177100419858,0.0826239860950174,0.0228203627852545,0.0255624297254744,0.8082518187568146,0.3944440105368757,0.0255624297254744,0.8082518187568146,0.3944440105368757,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
24,24,alexander,2013,solid sorption.txt,-0.004007555816601,0.0485665829145728,0.0340203625527688,-1.9582892733734507,-0.2030230875442498,1.1595332236709797,-1.9582892733734507,-0.2030230875442498,1.1595332236709797,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
25,25,ali ahmadi,2016,Modeling solubility of carb.txt,0.0302219519421713,0.0821733542319749,0.0301868711068519,0.4306511714162678,0.7948710952571375,0.8976615259214898,0.4306511714162678,0.7948710952571375,0.8976615259214898,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
26,26,alkhalidi etal,2019,Energy efficient cooling.txt,0.0332333211594047,0.0705784829721362,0.0282875905034517,0.6408201802124829,0.4505817116907755,0.7679187462304492,0.6408201802124829,0.4505817116907755,0.7679187462304492,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
27,27,alkhalidi etal,2020,Using Wood.txt,0.0590248008030616,0.0447090434782608,0.0172893481717011,2.440855088278375,-0.31756596127248,0.0166118938978226,2.440855088278375,-0.31756596127248,0.0166118938978226,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
28,28,alkhalidi,2020, Do green buildings.txt,-0.0217679226162009,0.1040433285509326,0.0230005227391531,-3.197818011585909,1.4442616583905528,0.4067510141286417,,1.4442616583905528,0.4067510141286417,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
29,29,Allison,2014,thermal energy storage.txt,0.0138851294147709,0.0611909007352942,0.0141002373307273,-0.70952578789325,0.1718339076771393,-0.2012411734741225,-0.70952578789325,0.1718339076771393,-0.2012411734741225,35534.443,4.871,0.71,251.418,1481493.672,15062.902,701562.049,2.065,
30,30,alm,2020,Quantum chemica.txt,0.0312632754853499,0.0233244680851063,0.0198281559814937,0.5033270610592754,-0.9525434539022666,0.1900417608454042,0.5033270610592754,-0.9525434539022666,0.1900417608454042,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
31,31,almosawi,2020,Synergistic effect of.txt,0.0497944802795135,0.0297822616407982,0.014534191088873,1.7966540038667664,-0.7607905907041199,-0.1715971247019737,1.7966540038667664,-0.7607905907041199,-0.1715971247019737,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
32,32,almutairi etal,2011,Cycling durability studies.txt,0.033580301080301,-4.527027027026397e-05,0.0086427656850192,0.6650365485108762,-1.6464668819569308,-0.574049456848152,0.6650365485108762,-1.6464668819569308,-0.574049456848152,34468.451,4.895,3.37,1125.151,1375702.128,14781.225,656506.57,2.099,
33,33,alqahtani,2019,The effect.txt,0.0122662296667978,0.058981534090909,0.0352685838307108,-0.8225117855666071,0.1062306367980419,1.2448011393121812,-0.8225117855666071,0.1062306367980419,1.2448011393121812,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
34,34,alqahtani,2020,Building enve.txt,0.0192739860612201,0.0737018003273322,0.0164424514200298,-0.3334275487774104,0.5433231473483829,-0.0412409259943124,-0.3334275487774104,0.5433231473483829,-0.0412409259943124,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
35,35,alsallal,2010,Daylighting and visual performance.txt,0.0378695530715029,0.0424544568245125,0.0234263233190271,0.9643913517376584,-0.3845119610874672,0.4358381067509804,0.9643913517376584,-0.3845119610874672,0.4358381067509804,33343.3,4.793,5.49,1736.258,1341233.677,13970.832,641725.345,2.008,89800000000000.0
36,36,alsallal,2018,Daylighting performan.txt,0.0444084493165138,0.0433002150537634,0.0168404170008019,1.420752974407701,-0.3593986525504811,-0.014055284979348,1.420752974407701,-0.3593986525504811,-0.014055284979348,36646.14,4.802,2.01,720.402,1625014.415,14718.145,759812.726,1.929,114000000000000.0
37,37,altan etal,2019,An experimental study roof.txt,0.0619303993052049,0.1286325038880248,0.047683692516545,2.643642163891862,2.1743941307135284,2.0928963118648003,,2.1743941307135284,2.0928963118648003,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
38,38,alwetaishi,2019,Sustainable ap.txt,0.0202999332474066,0.0375459219858156,0.024748322147651,-0.2618248034334867,-0.5302623015576111,0.5261458803716301,-0.2618248034334867,-0.5302623015576111,0.5261458803716301,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
39,39,alyousef and varnham,2010,Saudi Arabia.txt,0.0416332455584048,0.1774694267515925,0.0317987660180351,1.227066388348632,3.6245209748307774,1.0077725468903511,1.227066388348632,,1.0077725468903511,33343.3,4.793,5.49,1736.258,1341233.677,13970.832,641725.345,2.008,89800000000000.0
40,40,Amanda Sabo,2016,impacts and response.txt,0.0203494940547453,0.0228651668129938,0.0078414984882377,-0.2583658633294634,-0.9661816003122744,-0.6287852516535969,-0.2583658633294634,-0.9661816003122744,-0.6287852516535969,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
41,41,Amanda,2016,Water Sensitive Planning Practices.txt,0.0303751236858379,0.0524430714285713,0.0325077399380804,0.441341309761896,-0.0879175541598984,1.056203645986749,0.441341309761896,-0.0879175541598984,1.056203645986749,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
42,42,amhadi and assaf,2019,Assessment.txt,0.035238111480671,0.1074775793650793,0.0542491268917345,0.7807381923424843,1.546235718241502,2.5413912336742657,0.7807381923424843,1.546235718241502,,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
43,43,An etal,2014,Efficiency of household.txt,0.0266658627846473,0.2309690607734806,0.0221890334969063,0.1824651538563091,5.213098856003219,0.351316935672834,0.1824651538563091,,0.351316935672834,35534.443,4.871,0.71,251.418,1481493.672,15062.902,701562.049,2.065,
44,44,ana etal,2010,Performance simulation.txt,0.0078867489579563,0.0152743034055727,0.0042119264021281,-1.1281638173241018,-1.191578987200881,-0.8767269042444911,-1.1281638173241018,-1.191578987200881,-0.8767269042444911,33343.3,4.793,5.49,1736.258,1341233.677,13970.832,641725.345,2.008,89800000000000.0
45,45,ana etal,2019,Energy assessment.txt,0.0177410421422338,0.0530270109235353,0.0198921732664063,-0.4404145306957316,-0.0705784941344928,0.1944148800558961,-0.4404145306957316,-0.0705784941344928,0.1944148800558961,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
46,46,Andrea and Francis,2020,tropical climate.txt,0.0045584300192886,0.0298122334455668,0.0106394411606663,-1.3604533314409184,-0.7599006304831825,-0.4376534836109091,-1.3604533314409184,-0.7599006304831825,-0.4376534836109091,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
47,47,anestopoulou etal,2016,On the development.txt,0.0113459966413397,0.0437544934640523,0.0151184538653366,-0.8867365447609487,-0.3459096512204181,-0.131685235667414,-0.8867365447609487,-0.3459096512204181,-0.131685235667414,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
48,48,angrisani etal,2013,the influence of cooling air.txt,0.0243819767982054,0.0692827858081472,0.0210200927357032,0.0230685407717652,0.4121082549458442,0.271464794087679,0.0230685407717652,0.4121082549458442,0.271464794087679,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
49,49,annadurai etal,2018,Experimental.txt,0.0127462871595524,0.0491262166405023,0.0251771726967549,-0.7890076882144644,-0.1864057447376435,0.5554413210838473,-0.7890076882144644,-0.1864057447376435,0.5554413210838473,36646.14,4.802,2.01,720.402,1625014.415,14718.145,759812.726,1.929,114000000000000.0
50,50,Aprea etal,2012,exergy an.txt,0.0302377991365679,0.0142575923392612,-0.0054186331061003,0.431757176325752,-1.2217684406619058,-1.5346052389890448,0.431757176325752,-1.2217684406619058,-1.5346052389890448,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
51,51,Arif etal,2012,exergy analysis.txt,0.0289260818753006,0.0402221354166666,0.0050727088265133,0.3402100106564693,-0.4507968334423101,-0.8179255326888625,0.3402100106564693,-0.4507968334423101,-0.8179255326888625,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
52,52,arslan,2013,Characterization.txt,0.0198726259634462,0.067437109375,0.0251371115173674,-0.2916473664747132,0.3573041275699576,0.5527046802935771,-0.2916473664747132,0.3573041275699576,0.5527046802935771,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
53,53,ascione etal,2016,Design.txt,0.0357187695492855,0.1039518979833927,0.0315797240463366,0.814284204990989,1.441546787907561,0.9928094528502738,0.814284204990989,1.441546787907561,0.9928094528502738,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
54,54,ashley,2016,direct absorbing.txt,0.0111183059981983,0.0523260273972602,0.008130081300813,-0.9026274944682608,-0.0913929715653332,-0.609071715798209,-0.9026274944682608,-0.0913929715653332,-0.609071715798209,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
55,55,Ashouri etal,2015,organic rankine cycle.txt,0.0169028877938452,0.0181364361702127,0.0042931162102146,-0.4989108677144457,-1.1065929702680195,-0.8711807035594159,-0.4989108677144457,-1.1065929702680195,-0.8711807035594159,35496.406,4.81,-0.11,-38.037,1516990.078,14718.203,716280.251,1.994,
56,56,assad,2020,Renewable.txt,0.0127292644524787,0.0599445054945056,0.0105172165394035,-0.7901957343206142,0.134824385146475,-0.4460028355081097,-0.7901957343206142,0.134824385146475,-0.4460028355081097,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
57,57,auid etal,2013,Organic Rankine cycles.txt,0.0254179849679093,0.0290328290468986,0.0090166723375297,0.095373460701672,-0.7830436782974203,-0.5485073182326968,0.095373460701672,-0.7830436782974203,-0.5485073182326968,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
58,58,avgerinos ,2013,Computational study.txt,0.03828160430839,0.023016865079365,0.0110192837465564,0.9931491671308116,-0.96167718612374,-0.4117058522550176,0.9931491671308116,-0.96167718612374,-0.4117058522550176,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
59,59,avgerinos etal,2016,Experimental stu.txt,0.0355433683013048,0.0017278659611992,-0.003630422944273,0.8020426285616458,-1.5938167087526507,-1.4124498520220572,0.8020426285616458,-1.5938167087526507,-1.4124498520220572,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
60,60,avgerinos,2016,Effect.txt,0.016352882047589,-0.0073444234404536,0.0,-0.5372967826203185,-1.8632024445347823,-1.164450076001143,-0.5372967826203185,-1.8632024445347823,-1.164450076001143,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
61,61,awogbemi etal,2019,Comparative stud.txt,0.0051090693060169,0.0414935077519379,-0.001616933705718,-1.3220232005776296,-0.4130456598600726,-1.2749053047758847,-1.3220232005776296,-0.4130456598600726,-1.2749053047758847,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
62,62,awogbemi etal,2020,Optimization of FAME.txt,0.0043920756069784,0.0686494600431966,0.0288679470356674,-1.372063512531973,0.3933027561761604,0.8075637937114336,-1.372063512531973,0.3933027561761604,0.8075637937114336,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
63,63,aydin etal,2015,Numerical analysis of solar.txt,0.03622610254329,0.0930548333333332,0.0282137889926485,0.8496919098547243,1.1179775488038264,0.7628772514982496,0.8496919098547243,1.1179775488038264,0.7628772514982496,35496.406,4.81,-0.11,-38.037,1516990.078,14718.203,716280.251,1.994,
64,64,ayou etal,2013,Analysis.txt,0.0258107799681505,0.0556533864541832,0.0269799825935596,0.1227873478425652,0.007407124868674,0.6785940384059823,0.1227873478425652,0.007407124868674,0.6785940384059823,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
65,65,Azad,2008,Split heat pipe heat.txt,0.0061422751165818,0.0078029363784665,0.0193083573487031,-1.249913862457876,-1.4134281384778065,0.1545335166306662,-1.249913862457876,-1.4134281384778065,0.1545335166306662,32069.444,4.724,1.83,575.702,1276283.334,13234.705,614687.367,1.949,
66,66,azad,2012,heat pipe heat exchanger.txt,0.0226101965164465,0.0046099358974358,0.0090421969189551,-0.1005872711728303,-1.5082386924465132,-0.5467636948109408,-0.1005872711728303,-1.5082386924465132,-0.5467636948109408,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
67,67,baitule and sudhakar,2017,Solar powered green campus.txt,0.0257081445686096,0.0604944186046511,0.0040465351542741,0.1156242341116239,0.151153091301483,-0.8880250348075733,0.1156242341116239,0.151153091301483,-0.8880250348075733,35925.738,4.76,1.33,473.278,1588368.275,14453.702,745094.581,1.915,110000000000000.0
68,68,Baljit etal,2020,performance study.txt,0.0085537106157184,0.0507608446671438,0.0116266666666666,-1.081615333758967,-0.1378683299582285,-0.3702145906421312,-1.081615333758967,-0.1378683299582285,-0.3702145906421312,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
69,69,bANSAL,2009,evaporative cooling.txt,0.0066885230654761,0.0207671874999999,0.0082037996545768,-1.2117902111569658,-1.028477419577427,-0.6040359016512912,-1.2117902111569658,-1.028477419577427,-0.6040359016512912,31607.042,4.599,-1.44,-462.402,1307890.377,13067.147,627754.514,1.901,
70,70,baral,2020,Mathematical.txt,0.0311409823884973,0.0751357852882703,0.0117728531855955,0.4947920003961545,0.5859028178924505,-0.3602283646546507,0.4947920003961545,0.5859028178924505,-0.3602283646546507,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
71,71,baral,2020,Thermodynamic and financial.txt,0.0327932174089892,0.0736191946308725,0.015780055311534,0.6101045281884812,0.5408703159476838,-0.0864902231328813,0.6101045281884812,0.5408703159476838,-0.0864902231328813,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
72,72,bardineh etal,2018,Medical.txt,0.0205594575492534,0.0984272727272728,0.0149028077753779,-0.2437121240033017,1.277502722109876,-0.1464163518019421,-0.2437121240033017,1.277502722109876,-0.1464163518019421,36646.14,4.802,2.01,720.402,1625014.415,14718.145,759812.726,1.929,114000000000000.0
73,73,Barnwal etal,2008,thermal greenhouse dryer.txt,0.0021894605948913,0.0572825468164795,0.0123977842257979,-1.5257880745022625,0.0557821869367222,-0.3175383639639071,-1.5257880745022625,0.0557821869367222,-0.3175383639639071,32069.444,4.724,1.83,575.702,1276283.334,13234.705,614687.367,1.949,
74,74,Barros etal,2013,land use.txt,0.0182377577834219,0.0761841328413284,0.0331511839708561,-0.4057478304569586,0.6170316613886111,1.1001582976787985,-0.4057478304569586,0.6170316613886111,1.1001582976787985,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
75,75,bensebaa etal,2016,potential application for solar thermal absorber.txt,0.025121821439293,0.0633713068181818,0.0228455754771544,0.0747036620948898,0.2365772454321605,0.3961663283053661,0.0747036620948898,0.2365772454321605,0.3961663283053661,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
76,76,bert,2011,fuel cells.txt,0.0311235968216487,0.0783818181818181,0.0428835489833641,0.4935786296374297,0.6822880764184898,1.7649911230286022,0.4935786296374297,0.6822880764184898,1.7649911230286022,34468.451,4.895,3.37,1125.151,1375702.128,14781.225,656506.57,2.099,
77,77,bhattacharyya etal,2010,adiabatic capillary tube in a transcritical CO2 system.txt,0.0177518239689868,0.0241124343257442,0.009553158705701,-0.4396620471315345,-0.9291461771942446,-0.5118591091432733,-0.4396620471315345,-0.9291461771942446,-0.5118591091432733,33343.3,4.793,5.49,1736.258,1341233.677,13970.832,641725.345,2.008,89800000000000.0
78,78,Bi etal,2009,Ecological.txt,0.0326601801199871,0.0615246516613075,-0.0012751036021676,0.6008196105495258,0.1817440565702842,-1.2515543645634135,0.6008196105495258,0.1817440565702842,-1.2515543645634135,31607.042,4.599,-1.44,-462.402,1307890.377,13067.147,627754.514,1.901,
79,79,Birnie etal,2013,effective air purification.txt,0.0481021269310399,0.039991652173913,0.0214442013129102,1.6785415440109108,-0.4576406294441567,0.30043630340502,1.6785415440109108,-0.4576406294441567,0.30043630340502,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
80,80,Boncini etal,2008,Double Light Pipe.txt,0.0608697386982835,0.0533419402985074,0.0232215259859933,2.5696167049245044,-0.0612272182172114,0.421848085890687,,-0.0612272182172114,0.421848085890687,32069.444,4.724,1.83,575.702,1276283.334,13234.705,614687.367,1.949,
81,81,Bottarelli etal,2017,tile covering.txt,0.0320092128382682,0.1226899383983572,0.0356516656925774,0.5553874039723068,1.997940062066212,1.27097005059302,0.5553874039723068,1.997940062066212,1.27097005059302,35925.738,4.76,1.33,473.278,1588368.275,14453.702,745094.581,1.915,110000000000000.0
82,82,bottarelli etal,2020,Solar gain.txt,0.0220398065786909,0.0514822475570032,0.0161290322580645,-0.1403958363794448,-0.1164475353080145,-0.0626510710824192,-0.1403958363794448,-0.1164475353080145,-0.0626510710824192,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
83,83,bottarelli,2012,Numerical.txt,0.0205270949288806,0.0426012499999999,0.0172413793103448,-0.2459707709360258,-0.3801531949771979,0.0133350671878375,-0.2459707709360258,-0.3801531949771979,0.0133350671878375,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
84,84,bottarelli,2019,Testing of a dualsource heat pump.txt,0.0206293509472033,0.0358938076416337,0.0157525147086733,-0.2388341349196419,-0.5793189418939039,-0.0883715640801423,-0.2388341349196419,-0.5793189418939039,-0.0883715640801423,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
85,85,bouaid etal,2012,Optimization.txt,0.0251056009717981,0.0430807042253521,0.0201938610662358,0.0735716057677875,-0.3659166419361537,0.2150236377500862,0.0735716057677875,-0.3659166419361537,0.2150236377500862,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
86,86,Boukhanouf etal,2013,generation s.txt,0.0263725503403926,0.0416275933609958,0.0090068159688412,0.161994337682784,-0.4090642226665802,-0.5491806219399082,0.161994337682784,-0.4090642226665802,-0.5491806219399082,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
87,87,Bozonnet etal,2013,urban fluxes.txt,0.0251901452370754,0.0612059187279151,0.0211816192560175,0.0794721058894771,0.1722798406509512,0.2824989191673935,0.0794721058894771,0.1722798406509512,0.2824989191673935,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
88,88,Budania etal,2013,solar absorption.txt,0.0318457404941931,0.0541137330754352,-0.0071305099394987,0.5439783677361464,-0.0383101841721851,-1.6515461788671129,0.5439783677361464,-0.0383101841721851,-1.6515461788671129,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
89,89,burhan etal,2018,Energy distribution.txt,0.0249089597271415,0.0616631818181818,0.0109890109890109,0.0598476508168557,0.1858574668226928,-0.4137738308916827,0.0598476508168557,0.1858574668226928,-0.4137738308916827,36646.14,4.802,2.01,720.402,1625014.415,14718.145,759812.726,1.929,114000000000000.0
90,90,Busato etal,2008,cogeneration modules.txt,0.0212474526113068,0.0313961649089166,0.0055256869772998,-0.195695680379926,-0.7128685613116221,-0.7869818983900986,-0.195695680379926,-0.7128685613116221,-0.7869818983900986,32069.444,4.724,1.83,575.702,1276283.334,13234.705,614687.367,1.949,
91,91,busato etal,2012,Energy and economic.txt,0.0154987011500914,0.0609136972193614,0.019650655021834,-0.5969116420445176,0.163602835034403,0.1779163972404462,-0.5969116420445176,0.163602835034403,0.1779163972404462,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
